question,answer
What is the capital of France?,Paris
Where is the ball?,behind the chair
What is the largest planet in our solar system?,Jupiter
Who is the CEO of BLACKBOX AI?,[Insert CEO's name]
What is the largest mammal on Earth?,Blue whale
What is the highest mountain in the world?,Mount Everest
What is the deepest ocean?,Pacific Ocean
What is NLP?,NLP stands for Natural Language Processing
What is tokenization?,Tokenization is splitting text into smaller units called tokens
What is stemming?,Stemming reduces words to their root form by removing suffixes
what is ai?,AI (Artificial Intelligence) is the development of computer systems that can perform tasks requiring human intelligence

